,id,Idade,Faixa idade,Genero,Estado onde mora,uf onde mora,Regiao onde mora,Regiao de origem,Mudou de Estado?,Nivel de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionarios,Gestor?,Cargo como Gestor,Cargo Atual,Nivel,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Você participou de entrevistas de emprego nos últimos 6 meses?,Você pretende mudar de emprego nos próximos 6 meses?,Ainda não conhecia o Data Hackers
918,shk15b4ujav9o0ndeateyshk15b4bgsy,29,25-29,Feminino,São Paulo (SP),SP,Sudeste,,0,Mestrado,Outras,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,0.0,,Desenvolvedor ou Engenheiro de Software,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 1 a 2 anos,"Sim, fiz entrevistas mas não fui aprovado",Estou em busca de oportunidades dentro ou fora do Brasil,0
919,sfgb6ikxus7ykmo6zsfgbtpfb7uls22s,38,35-39,Feminino,Minas Gerais (MG),MG,Sudeste,,0,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Construção Civil,Acima de 3000,0.0,,Analista de Dados/Data Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado e mudei de emprego",Estou em busca de oportunidades dentro ou fora do Brasil,0
920,ser25ah9gn04wseryxxymu007iinhrjc,34,30-34,Feminino,Minas Gerais (MG),MG,Sudeste,,0,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,de 1001 a 3000,0.0,,Professor,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,de 2 a 3 anos,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,1
921,68qmv8dexufesavh3w4468qmv8d3kebo,38,35-39,Feminino,Rio de Janeiro (RJ),RJ,Sudeste,,0,Pós-graduação,Outras Engenharias,Empregado (CLT),Construção Civil,de 11 a 50,0.0,,Outro,Pleno,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fiz entrevistas mas não fui aprovado","Estou em busca de oportunidades, mas apenas fora do Brasil",0
922,sbn3orctrkhnftqlqsbn3oku0mu8g8f9,24,22-24,Masculino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Marketing,de 101 a 500,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado e mudei de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,1
923,5dk2xa16umavfwe4kx5dk2xqq6zv6s3y,25,25-29,Feminino,Maranhão (MA),MA,Nordeste,,0,Graduação/Bacharelado,Ciências Sociais,Empreendedor ou Empregado (CNPJ),Outro,de 1 a 5,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,Menos de R$ 1.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fiz entrevistas mas não fui aprovado","Não estou buscando, mas me considero aberto a outras oportunidades",0
924,ppk6g9kj8v734zf12hxppk6x62fwd0mj,28,25-29,Masculino,Mato Grosso (MT),MT,Centro-oeste,,0,Pós-graduação,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Acima de 3000,0.0,,Outro,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado mas decidi não mudar de emprego","Não estou buscando, mas me considero aberto a outras oportunidades",0
925,cocv2b8ust131e57cocvq3lbnsweg6kz,29,25-29,Masculino,Ceará (CE),CE,Nordeste,,0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Logística,de 51 a 100,0.0,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,de 1 a 2 anos,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades",0
926,s7u1ut9h8pbzyo0iz89s7u12vb4bv54b,0,55+,Masculino,Rio de Janeiro (RJ),RJ,Sudeste,,0,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Servidor Público,Seguros ou Previdência,de 101 a 500,0.0,,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",1
927,s7rh757uzd89res7rh75j6g9gy4u2tpl,28,25-29,Feminino,Distrito Federal (DF),DF,Centro-oeste,,0,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,de 101 a 500,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,de 2 a 3 anos,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",0
